"Region","TimePeriod","PopulationValue"
"East Gippsland",2021,48477
"East Gippsland",2022,48939
"East Gippsland",2023,49179
"Cook",2013,4222
"Cook",2014,4065
"Cook",2015,4217
"Cook",2016,4302
"Cook",2017,4414
"Cook",2018,4471
"Cook",2019,4532
"Cook",2020,4579
"Cook",2021,4631
"Cook",2022,4673
"Cook",2023,4761
"Whitsunday",2013,34113
"Whitsunday",2014,34362
"Whitsunday",2015,34509
"Whitsunday",2016,34538
"Whitsunday",2017,35083
"Whitsunday",2018,35651
"Whitsunday",2019,36266
"Whitsunday",2020,37105
"Whitsunday",2021,37642
"Whitsunday",2022,38509
"Whitsunday",2023,39712
"Berri Barmera",2013,10804
"Berri Barmera",2014,10847
"Berri Barmera",2015,10854
"Berri Barmera",2016,10835
"Berri Barmera",2017,10833
"Berri Barmera",2018,10826
"Berri Barmera",2019,10812
"Berri Barmera",2020,10800
"Berri Barmera",2021,10741
"Berri Barmera",2022,10710
"Berri Barmera",2023,10730
"Prospect",2013,20959
"Prospect",2014,21050
"Prospect",2015,21096
"Prospect",2016,21124
"Prospect",2017,21272
"Prospect",2018,21460
"Prospect",2019,21841
"Prospect",2020,22234
"Prospect",2021,22487
"Prospect",2022,22750
"Prospect",2023,23137
"Wyndham-East Kimberley",2013,8243
"Wyndham-East Kimberley",2014,8020
"Wyndham-East Kimberley",2015,7780
"Wyndham-East Kimberley",2016,7478
"Wyndham-East Kimberley",2017,7508
"Wyndham-East Kimberley",2018,7561
"Wyndham-East Kimberley",2019,7741
"Wyndham-East Kimberley",2020,7904
"Wyndham-East Kimberley",2021,8050
"Wyndham-East Kimberley",2022,8064
"Wyndham-East Kimberley",2023,8209
"Central Goldfields",2013,12815
"Central Goldfields",2014,12884
"Central Goldfields",2015,12950
"Central Goldfields",2016,13087
"Central Goldfields",2017,13200
"Central Goldfields",2018,13330
"Central Goldfields",2019,13349
"Central Goldfields",2020,13304
"Central Goldfields",2021,13388
"Central Goldfields",2022,13520
"Central Goldfields",2023,13574
"Moira",2013,28905
"Moira",2014,29100
"Moira",2015,29288
"Moira",2016,29486
"Moira",2017,29717
"Moira",2018,29910
"Moira",2019,30099
"Moira",2020,30298
"Moira",2021,30367
"Moira",2022,30584
"Moira",2023,30775
"Kingston (SA)",2013,2380
"Kingston (SA)",2014,2392
"Kingston (SA)",2015,2403
"Kingston (SA)",2016,2415
"Kingston (SA)",2017,2400
"Kingston (SA)",2018,2362
"Kingston (SA)",2019,2355
"Kingston (SA)",2020,2359
"Kingston (SA)",2021,2375
"Kingston (SA)",2022,2376
"Kingston (SA)",2023,2393
"Wiluna",2013,1131
"Wiluna",2014,1020
"Wiluna",2015,894
"Wiluna",2016,767
"Wiluna",2017,706
"Wiluna",2018,657
"Wiluna",2019,611
"Wiluna",2020,587
"Wiluna",2021,570
"Wiluna",2022,572
"Wiluna",2023,568
"Liverpool",2013,196122
"Liverpool",2014,200725
"Liverpool",2015,206205
"Liverpool",2016,211983
"Liverpool",2017,217465
"Liverpool",2018,222410
"Liverpool",2019,227187
"Liverpool",2020,231268
"Liverpool",2021,234505
"Liverpool",2022,239774
"Liverpool",2023,247672
"Armidale Regional",2013,28895
"Armidale Regional",2014,29015
"Armidale Regional",2015,29160
"Armidale Regional",2016,29310
"Armidale Regional",2017,29519
"Armidale Regional",2018,29631
"Armidale Regional",2019,29701
"Armidale Regional",2020,29600
"Armidale Regional",2021,29332
"Armidale Regional",2022,29361
"Armidale Regional",2023,29594
"Forbes",2013,9608
"Forbes",2014,9698
"Forbes",2015,9750
"Forbes",2016,9817
"Forbes",2017,9725
"Forbes",2018,9664
"Forbes",2019,9590
"Forbes",2020,9502
"Forbes",2021,9385
"Forbes",2022,9338
"Forbes",2023,9300
"Torres",2013,3647
"Torres",2014,3717
"Torres",2015,3753
"Torres",2016,3799
"Torres",2017,3784
"Torres",2018,3721
"Torres",2019,3652
"Torres",2020,3589
"Torres",2021,3532
"Torres",2022,3517
"Torres",2023,3502
"Coomalie",2013,1369
"Coomalie",2014,1374
"Coomalie",2015,1396
"Coomalie",2016,1412
"Coomalie",2017,1428
"Coomalie",2018,1414
"Coomalie",2019,1411
"Coomalie",2020,1410
"Coomalie",2021,1400
"Coomalie",2022,1396
"Coomalie",2023,1421
"Towong",2013,5961
"Towong",2014,5982
"Towong",2015,6005
"Towong",2016,6046
"Towong",2017,6064
"Towong",2018,6100
"Towong",2019,6142
"Towong",2020,6170
"Towong",2021,6186
"Towong",2022,6198
"Towong",2023,6243
"Copper Coast",2013,13747
"Copper Coast",2014,14024
"Copper Coast",2015,14266
"Copper Coast",2016,14472
"Copper Coast",2017,14636
"Copper Coast",2018,14810
"Copper Coast",2019,14962
"Copper Coast",2020,15109
"Copper Coast",2021,15338
"Copper Coast",2022,15643
"Copper Coast",2023,15951
"Mingenew",2013,487
"Mingenew",2014,482
"Mingenew",2015,474
"Mingenew",2016,465
"Mingenew",2017,450
"Mingenew",2018,434
"Mingenew",2019,430
"Mingenew",2020,421
"Mingenew",2021,423
"Mingenew",2022,423
"Mingenew",2023,417
"Koorda",2013,446
"Koorda",2014,440
"Koorda",2015,437
"Koorda",2016,428
"Koorda",2017,416
"Koorda",2018,400
"Koorda",2019,391
"Koorda",2020,382
"Koorda",2021,373
"Koorda",2022,374
"Koorda",2023,371
"Clarence Valley",2013,51443
"Clarence Valley",2014,51498
"Clarence Valley",2015,51547
"Clarence Valley",2016,51622
"Clarence Valley",2017,51953
"Clarence Valley",2018,52301
"Clarence Valley",2019,52604
"Clarence Valley",2020,52893
"Clarence Valley",2021,54212
"Clarence Valley",2022,54659
"Clarence Valley",2023,55323
"Hilltops",2013,18783
"Hilltops",2014,18776
"Hilltops",2015,18760
"Hilltops",2016,18756
"Hilltops",2017,18906
"Hilltops",2018,19019
"Hilltops",2019,19131
"Hilltops",2020,19205
"Hilltops",2021,19223
"Hilltops",2022,19238
"Hilltops",2023,19255
"Penrith",2013,190527
"Penrith",2014,193765
"Penrith",2015,197678
"Penrith",2016,201597
"Penrith",2017,205517
"Penrith",2018,209578
"Penrith",2019,213534
"Penrith",2020,216922
"Penrith",2021,219239
"Penrith",2022,220915
"Penrith",2023,224483
"Central Highlands (Tas.)",2013,2278
"Central Highlands (Tas.)",2014,2239
"Central Highlands (Tas.)",2015,2203
"Central Highlands (Tas.)",2016,2169
"Central Highlands (Tas.)",2017,2222
"Central Highlands (Tas.)",2018,2296
"Central Highlands (Tas.)",2019,2377
"Central Highlands (Tas.)",2020,2473
"Central Highlands (Tas.)",2021,2579
"Central Highlands (Tas.)",2022,2586
"Central Highlands (Tas.)",2023,2595
"Indigo",2013,15605
"Indigo",2014,15732
"Indigo",2015,15922
"Indigo",2016,16165
"Indigo",2017,16390
"Indigo",2018,16613
"Indigo",2019,16876
"Indigo",2020,17115
"Indigo",2021,17251
"Indigo",2022,17425
"Indigo",2023,17662
"Port Adelaide Enfield",2013,119876
"Port Adelaide Enfield",2014,121422
"Port Adelaide Enfield",2015,122766
"Port Adelaide Enfield",2016,124007
"Port Adelaide Enfield",2017,125690
"Port Adelaide Enfield",2018,127684
"Port Adelaide Enfield",2019,130293
"Port Adelaide Enfield",2020,132967
"Port Adelaide Enfield",2021,134131
"Port Adelaide Enfield",2022,135822
"Port Adelaide Enfield",2023,138585
"Tasman",2013,2356
"Tasman",2014,2389
"Tasman",2015,2391
"Tasman",2016,2389
"Tasman",2017,2405
"Tasman",2018,2443
"Tasman",2019,2486
"Tasman",2020,2560
"Tasman",2021,2643
"Tasman",2022,2676
"Tasman",2023,2686
"Ku-ring-gai",2013,118195
"Ku-ring-gai",2014,119851
"Ku-ring-gai",2015,121315
"Ku-ring-gai",2016,122472
"Ku-ring-gai",2017,124122
"Ku-ring-gai",2018,125528
"Ku-ring-gai",2019,126364
"Ku-ring-gai",2020,126438
"Ku-ring-gai",2021,124703
"Ku-ring-gai",2022,124205
"Ku-ring-gai",2023,126983
"Central Highlands (Qld)",2013,29782
"Central Highlands (Qld)",2014,29598
"Central Highlands (Qld)",2015,29143
"Central Highlands (Qld)",2016,28690
"Central Highlands (Qld)",2017,28573
"Central Highlands (Qld)",2018,28572
"Central Highlands (Qld)",2019,28574
"Central Highlands (Qld)",2020,28524
"Central Highlands (Qld)",2021,28298
"Central Highlands (Qld)",2022,28530
"Central Highlands (Qld)",2023,28973
"Yarrabah",2013,2686
"Yarrabah",2014,2694
"Yarrabah",2015,2695
"Yarrabah",2016,2702
"Yarrabah",2017,2663
"Yarrabah",2018,2643
"Yarrabah",2019,2621
"Yarrabah",2020,2606
"Yarrabah",2021,2597
"Yarrabah",2022,2619
"Yarrabah",2023,2640
"South Gippsland",2013,28273
"South Gippsland",2014,28521
"South Gippsland",2015,28781
"South Gippsland",2016,29122
"South Gippsland",2017,29361
"South Gippsland",2018,29604
"South Gippsland",2019,29923
"South Gippsland",2020,30272
"South Gippsland",2021,30388
"South Gippsland",2022,30708
"South Gippsland",2023,30823
"Bunbury",2013,32951
"Bunbury",2014,32941
"Bunbury",2015,32872
"Bunbury",2016,32574
"Bunbury",2017,32758
"Bunbury",2018,32897
"Bunbury",2019,33267
"Bunbury",2020,33769
"Bunbury",2021,34137
"Bunbury",2022,34417
"Bunbury",2023,34768
"Capel",2013,16483
"Capel",2014,16934
"Capel",2015,17250
"Capel",2016,17375
"Capel",2017,17696
"Capel",2018,18001
"Capel",2019,18205
"Capel",2020,18492
"Capel",2021,18776
"Capel",2022,19012
"Capel",2023,19335
"Wattle Range",2013,11935
"Wattle Range",2014,11982
"Wattle Range",2015,12010
"Wattle Range",2016,12022
"Wattle Range",2017,12034
"Wattle Range",2018,12046
"Wattle Range",2019,12043
"Wattle Range",2020,12058
"Wattle Range",2021,12127
"Wattle Range",2022,12178
"Wattle Range",2023,12257
"Blacktown",2013,324797
"Blacktown",2014,331825
"Blacktown",2015,339449
"Blacktown",2016,348030
"Blacktown",2017,359591
"Blacktown",2018,369384
"Blacktown",2019,380186
"Blacktown",2020,391911
"Blacktown",2021,399925
"Blacktown",2022,410944
"Blacktown",2023,426202
"Muswellbrook",2013,16415
"Muswellbrook",2014,16431
"Muswellbrook",2015,16435
"Muswellbrook",2016,16462
"Muswellbrook",2017,16519
"Muswellbrook",2018,16520
"Muswellbrook",2019,16554
"Muswellbrook",2020,16539
"Muswellbrook",2021,16469
"Muswellbrook",2022,16540
"Muswellbrook",2023,16778
"Tamworth Regional",2013,59240
"Tamworth Regional",2014,59872
"Tamworth Regional",2015,60432
"Tamworth Regional",2016,60990
"Tamworth Regional",2017,61758
"Tamworth Regional",2018,62511
"Tamworth Regional",2019,63183
"Tamworth Regional",2020,63405
"Tamworth Regional",2021,63670
"Tamworth Regional",2022,64520
"Tamworth Regional",2023,65246
"Hope Vale",2013,1043
"Hope Vale",2014,1030
"Hope Vale",2015,1009
"Hope Vale",2016,1014
"Hope Vale",2017,1005
"Hope Vale",2018,1011
"Hope Vale",2019,1013
"Hope Vale",2020,1007
"Hope Vale",2021,998
"Hope Vale",2022,1004
"Hope Vale",2023,1026
"Greater Hume Shire",2013,10220
"Greater Hume Shire",2014,10318
"Greater Hume Shire",2015,10441
"Greater Hume Shire",2016,10519
"Greater Hume Shire",2017,10601
"Greater Hume Shire",2018,10701
"Greater Hume Shire",2019,10801
"Greater Hume Shire",2020,10931
"Greater Hume Shire",2021,11109
"Greater Hume Shire",2022,11266
"Greater Hume Shire",2023,11445
"Barkly",2013,7810
"Barkly",2014,7663
"Barkly",2015,7572
"Barkly",2016,7426
"Barkly",2017,7342
"Barkly",2018,7257
"Barkly",2019,7212
"Barkly",2020,7228
"Barkly",2021,7189
"Barkly",2022,7212
"Barkly",2023,7239
"Robe",2013,1425
"Robe",2014,1425
"Robe",2015,1423
"Robe",2016,1413
"Robe",2017,1435
"Robe",2018,1471
"Robe",2019,1490
"Robe",2020,1526
"Robe",2021,1568
"Robe",2022,1588
"Robe",2023,1603
"Paroo",2013,1849
"Paroo",2014,1807
"Paroo",2015,1734
"Paroo",2016,1668
"Paroo",2017,1679
"Paroo",2018,1666
"Paroo",2019,1671
"Paroo",2020,1683
"Paroo",2021,1707
"Paroo",2022,1712
"Paroo",2023,1725
"Carnarvon",2013,6034
"Carnarvon",2014,5951
"Carnarvon",2015,5844
"Carnarvon",2016,5713
"Carnarvon",2017,5652
"Carnarvon",2018,5574
"Carnarvon",2019,5497
"Carnarvon",2020,5491
"Carnarvon",2021,5520
"Carnarvon",2022,5522
"Carnarvon",2023,5528
"Coolamon",2013,4328
"Coolamon",2014,4357
"Coolamon",2015,4366
"Coolamon",2016,4390
"Coolamon",2017,4423
"Coolamon",2018,4415
"Coolamon",2019,4413
"Coolamon",2020,4404
"Coolamon",2021,4403
"Coolamon",2022,4465
"Coolamon",2023,4549
"Gold Coast",2013,540687
"Gold Coast",2014,550718
"Gold Coast",2015,561629
"Gold Coast",2016,575303
"Gold Coast",2017,589101
"Gold Coast",2018,602443
"Gold Coast",2019,614435
"Gold Coast",2020,626342
"Gold Coast",2021,633598
"Gold Coast",2022,647178
"Gold Coast",2023,666087
"Adelaide Hills",2013,39687
"Adelaide Hills",2014,39657
"Adelaide Hills",2015,39630
"Adelaide Hills",2016,39632
"Adelaide Hills",2017,39875
"Adelaide Hills",2018,40173
"Adelaide Hills",2019,40587
"Adelaide Hills",2020,40969
"Adelaide Hills",2021,41237
"Adelaide Hills",2022,41408
"Adelaide Hills",2023,41842
"Goulburn Mulwaree",2013,29187
"Goulburn Mulwaree",2014,29486
"Goulburn Mulwaree",2015,29815
"Goulburn Mulwaree",2016,30261
"Goulburn Mulwaree",2017,30642
"Goulburn Mulwaree",2018,31072
"Goulburn Mulwaree",2019,31490
"Goulburn Mulwaree",2020,31934
"Goulburn Mulwaree",2021,32150
"Goulburn Mulwaree",2022,32428
"Goulburn Mulwaree",2023,32710
"Upper Lachlan Shire",2013,7594
"Upper Lachlan Shire",2014,7722
"Upper Lachlan Shire",2015,7804
"Upper Lachlan Shire",2016,7853
"Upper Lachlan Shire",2017,8003
"Upper Lachlan Shire",2018,8097
"Upper Lachlan Shire",2019,8220
"Upper Lachlan Shire",2020,8378
"Upper Lachlan Shire",2021,8494
"Upper Lachlan Shire",2022,8550
"Upper Lachlan Shire",2023,8706
"Elliston",2013,1067
"Elliston",2014,1068
"Elliston",2015,1071
"Elliston",2016,1070
"Elliston",2017,1071
"Elliston",2018,1059
"Elliston",2019,1050
"Elliston",2020,1046
"Elliston",2021,1038
"Elliston",2022,1032
"Elliston",2023,1041
"Yass Valley",2013,16010
"Yass Valley",2014,16188
"Yass Valley",2015,16356
"Yass Valley",2016,16568
"Yass Valley",2017,16669
"Yass Valley",2018,16796
"Yass Valley",2019,16941
"Yass Valley",2020,17092
"Yass Valley",2021,17240
"Yass Valley",2022,17379
"Yass Valley",2023,17477
"Swan Hill",2013,21003
"Swan Hill",2014,20940
"Swan Hill",2015,20893
"Swan Hill",2016,20896
"Swan Hill",2017,21069
"Swan Hill",2018,21240
"Swan Hill",2019,21407
"Swan Hill",2020,21499
"Swan Hill",2021,21381
"Swan Hill",2022,21239
"Swan Hill",2023,21212
"Denmark",2013,5804
"Denmark",2014,5872
"Denmark",2015,5957
"Denmark",2016,6018
"Denmark",2017,6133
"Denmark",2018,6165
"Denmark",2019,6235
"Denmark",2020,6398
"Denmark",2021,6468
"Denmark",2022,6539
"Denmark",2023,6618
"Merredin",2013,3379
"Merredin",2014,3380
"Merredin",2015,3385
"Merredin",2016,3395
"Merredin",2017,3385
"Merredin",2018,3349
"Merredin",2019,3286
"Merredin",2020,3254
"Merredin",2021,3221
"Merredin",2022,3235
"Merredin",2023,3268
"Buloke",2013,6388
"Buloke",2014,6335
"Buloke",2015,6306
"Buloke",2016,6284
"Buloke",2017,6221
"Buloke",2018,6214
"Buloke",2019,6166
"Buloke",2020,6156
"Buloke",2021,6132
"Buloke",2022,6120
"Buloke",2023,6040
"Greater Bendigo",2013,105957
"Greater Bendigo",2014,107955
"Greater Bendigo",2015,109908
"Greater Bendigo",2016,112267
"Greater Bendigo",2017,114265
"Greater Bendigo",2018,116186
"Greater Bendigo",2019,118214
"Greater Bendigo",2020,119958
"Greater Bendigo",2021,121272
"Greater Bendigo",2022,122704
"Greater Bendigo",2023,124174
"Kojonup",2013,2044
"Kojonup",2014,2029
"Kojonup",2015,2027
"Kojonup",2016,2010
"Kojonup",2017,2013
"Kojonup",2018,2009
"Kojonup",2019,1979
"Kojonup",2020,1964
"Kojonup",2021,1963
"Kojonup",2022,1976
"Kojonup",2023,1967
"Cassowary Coast",2013,28950
"Cassowary Coast",2014,29038
"Cassowary Coast",2015,29098
"Cassowary Coast",2016,29287
"Cassowary Coast",2017,29442
"Cassowary Coast",2018,29536
"Cassowary Coast",2019,29564
"Cassowary Coast",2020,29608
"Cassowary Coast",2021,29511
"Cassowary Coast",2022,29605
"Cassowary Coast",2023,29972
"Tea Tree Gully",2013,98558
"Tea Tree Gully",2014,98726
"Tea Tree Gully",2015,98983
"Tea Tree Gully",2016,99153
"Tea Tree Gully",2017,99567
"Tea Tree Gully",2018,100132
"Tea Tree Gully",2019,100837
"Tea Tree Gully",2020,101613
"Tea Tree Gully",2021,102044
"Tea Tree Gully",2022,102610
"Tea Tree Gully",2023,103685
"Bruce Rock",2013,988
"Bruce Rock",2014,966
"Bruce Rock",2015,955
"Bruce Rock",2016,941
"Bruce Rock",2017,953
"Bruce Rock",2018,964
"Bruce Rock",2019,982
"Bruce Rock",2020,1000
"Bruce Rock",2021,1016
"Bruce Rock",2022,1020
"Bruce Rock",2023,1043
"Corrigin",2013,1147
"Corrigin",2014,1161
"Corrigin",2015,1168
"Corrigin",2016,1193
"Corrigin",2017,1153
"Corrigin",2018,1102
"Corrigin",2019,1067
"Corrigin",2020,1044
"Corrigin",2021,1028
"Corrigin",2022,1023
"Corrigin",2023,1029
"King Island",2013,1619
"King Island",2014,1611
"King Island",2015,1599
"King Island",2016,1594
"King Island",2017,1600
"King Island",2018,1616
"King Island",2019,1633
"King Island",2020,1639
"King Island",2021,1652
"King Island",2022,1675
"King Island",2023,1648
"Rockingham",2013,119300
"Rockingham",2014,123038
"Rockingham",2015,126012
"Rockingham",2016,128992
"Rockingham",2017,130672
"Rockingham",2018,132911
"Rockingham",2019,135440
"Rockingham",2020,137931
"Rockingham",2021,140584
"Rockingham",2022,143754
"Rockingham",2023,148822
"Bega Valley",2013,33430
"Bega Valley",2014,33562
"Bega Valley",2015,33713
"Bega Valley",2016,33941
"Bega Valley",2017,34287
"Bega Valley",2018,34674
"Bega Valley",2019,35026
"Bega Valley",2020,35428
"Bega Valley",2021,35770
"Bega Valley",2022,35985
"Bega Valley",2023,36279
"Richmond Valley",2013,22981
"Richmond Valley",2014,23087
"Richmond Valley",2015,23148
"Richmond Valley",2016,23256
"Richmond Valley",2017,23336
"Richmond Valley",2018,23446
"Richmond Valley",2019,23525
"Richmond Valley",2020,23593
"Richmond Valley",2021,23595
"Richmond Valley",2022,23700
"Richmond Valley",2023,23705
"Southern Grampians",2013,16355
